1,1,405.000,250.000,255.000,780.000,1,-1,-1,-1
1,2,840.000,160.000,325.000,750.000,1,-1,-1,-1
1,3,850.000,555.000,425.000,730.000,1,-1,-1,-1
1,4,1490.000,275.000,365.000,810.000,1,-1,-1,-1
1,5,1850.000,305.000,335.000,820.000,1,-1,-1,-1
2,1,404.000,250.000,255.000,780.000,1,-1,-1,-1
2,2,840.000,160.000,325.000,750.000,1,-1,-1,-1
2,3,852.000,555.000,425.000,730.000,1,-1,-1,-1
2,4,1491.000,275.000,365.000,810.000,1,-1,-1,-1
2,5,1850.000,305.000,335.000,820.000,1,-1,-1,-1
3,1,404.000,251.000,255.000,780.000,1,-1,-1,-1
3,2,841.000,160.000,325.000,750.000,1,-1,-1,-1
3,3,854.000,555.000,425.000,730.000,1,-1,-1,-1
3,4,1492.000,275.000,365.000,810.000,1,-1,-1,-1
3,5,1851.000,306.000,335.000,820.000,1,-1,-1,-1
4,1,403.000,251.000,255.000,780.000,1,-1,-1,-1
4,2,841.000,160.000,325.000,750.000,1,-1,-1,-1
4,3,856.000,554.000,425.000,730.000,1,-1,-1,-1
4,4,1493.000,276.000,365.000,810.000,1,-1,-1,-1
4,5,1851.000,306.000,335.000,820.000,1,-1,-1,-1
5,1,402.000,251.000,255.000,780.000,1,-1,-1,-1
5,2,841.000,160.000,325.000,750.000,1,-1,-1,-1
5,3,858.000,554.000,425.000,730.000,1,-1,-1,-1
5,4,1494.000,276.000,365.000,810.000,1,-1,-1,-1
5,5,1851.000,306.000,335.000,820.000,1,-1,-1,-1
6,1,402.000,251.000,255.000,780.000,1,-1,-1,-1
6,2,841.000,160.000,325.000,750.000,1,-1,-1,-1
6,3,860.000,554.000,425.000,730.000,1,-1,-1,-1
6,4,1495.000,276.000,365.000,810.000,1,-1,-1,-1
6,5,1852.000,306.000,335.000,820.000,1,-1,-1,-1
7,1,401.000,252.000,255.000,780.000,1,-1,-1,-1
7,2,842.000,160.000,325.000,750.000,1,-1,-1,-1
7,3,862.000,554.000,425.000,730.000,1,-1,-1,-1
7,4,1496.000,276.000,365.000,810.000,1,-1,-1,-1
7,5,1852.000,307.000,335.000,820.000,1,-1,-1,-1
8,1,400.000,252.000,255.000,780.000,1,-1,-1,-1
8,2,842.000,160.000,325.000,750.000,1,-1,-1,-1
8,3,864.000,554.000,425.000,730.000,1,-1,-1,-1
8,4,1497.000,276.000,365.000,810.000,1,-1,-1,-1
8,5,1852.000,307.000,335.000,820.000,1,-1,-1,-1
9,1,399.000,252.000,255.000,780.000,1,-1,-1,-1
9,2,842.000,160.000,325.000,750.000,1,-1,-1,-1
9,3,867.000,554.000,425.000,730.000,1,-1,-1,-1
9,4,1498.000,276.000,365.000,810.000,1,-1,-1,-1
9,5,1853.000,307.000,335.000,820.000,1,-1,-1,-1
10,1,399.000,252.000,255.000,780.000,1,-1,-1,-1
10,2,842.000,160.000,325.000,750.000,1,-1,-1,-1
10,3,869.000,553.000,425.000,730.000,1,-1,-1,-1
10,4,1499.000,277.000,365.000,810.000,1,-1,-1,-1
10,5,1853.000,307.000,335.000,820.000,1,-1,-1,-1
11,1,398.000,253.000,255.000,780.000,1,-1,-1,-1
11,2,843.000,160.000,325.000,750.000,1,-1,-1,-1
11,3,871.000,553.000,425.000,730.000,1,-1,-1,-1
11,4,1500.000,277.000,365.000,810.000,1,-1,-1,-1
11,5,1853.000,308.000,335.000,820.000,1,-1,-1,-1
12,1,397.000,253.000,255.000,780.000,1,-1,-1,-1
12,2,843.000,160.000,325.000,750.000,1,-1,-1,-1
12,3,873.000,553.000,425.000,730.000,1,-1,-1,-1
12,4,1501.000,277.000,365.000,810.000,1,-1,-1,-1
12,5,1854.000,308.000,335.000,820.000,1,-1,-1,-1
13,1,397.000,253.000,255.000,780.000,1,-1,-1,-1
13,2,843.000,160.000,325.000,750.000,1,-1,-1,-1
13,3,875.000,553.000,425.000,730.000,1,-1,-1,-1
13,4,1502.000,277.000,365.000,810.000,1,-1,-1,-1
